kapitola;financni_misto;akce;rozpoctova_polozka;castka
Kancelář prezidenta republiky;Kancelář prezidenta republiky;Nepřiřazeno;Platy zaměstnanců v pracovním poměru;4.9441E7
Kancelář prezidenta republiky;Kancelář prezidenta republiky;Nepřiřazeno;Ostatní osobní výdaje;2369000.0
Kancelář prezidenta republiky;Kancelář prezidenta republiky;Nepřiřazeno;Platy představitelů státní moci a některých orgánů;2236000.0
Kancelář prezidenta republiky;Kancelář prezidenta republiky;Nepřiřazeno;Povinné pojistné na sociální zabezpečení a příspěvek na stát;1.2953E7
Kancelář prezidenta republiky;Kancelář prezidenta republiky;Nepřiřazeno;Povinné pojistné na veřejné zdravotní pojištění;4663000.0
Kancelář prezidenta republiky;Kancelář prezidenta republiky;Nepřiřazeno;Knihy, učební pomůcky a tisk;830000.0
Kancelář prezidenta republiky;Kancelář prezidenta republiky;Nepřiřazeno;Nákup materiálu jinde nezařazený;105000.0
Kancelář prezidenta republiky;Kancelář prezidenta republiky;Nepřiřazeno;Kursové rozdíly ve výdajích;25000.0
Kancelář prezidenta republiky;Kancelář prezidenta republiky;Nepřiřazeno;Služby pošt;303000.0
Kancelář prezidenta republiky;Kancelář prezidenta republiky;Nepřiřazeno;Služby peněžních ústavů;60000.0
Kancelář prezidenta republiky;Kancelář prezidenta republiky;Nepřiřazeno;Nájemné;10000.0
Kancelář prezidenta republiky;Kancelář prezidenta republiky;Nepřiřazeno;Konzultační, poradenské a právní služby;890000.0
Kancelář prezidenta republiky;Kancelář prezidenta republiky;Nepřiřazeno;Služby školení a vzdělávání;1580000.0
Kancelář prezidenta republiky;Kancelář prezidenta republiky;Nepřiřazeno;Služby zpracování dat;50000.0
Kancelář prezidenta republiky;Kancelář prezidenta republiky;Nepřiřazeno;Nákup ostatních služeb;1.932659E7
Kancelář prezidenta republiky;Kancelář prezidenta republiky;Nepřiřazeno;Cestovné (tuzemské i zahraniční);3150000.0
Kancelář prezidenta republiky;Kancelář prezidenta republiky;Nepřiřazeno;Pohoštění;1412000.0
Kancelář prezidenta republiky;Kancelář prezidenta republiky;Nepřiřazeno;Účastnické poplatky na konference;100000.0
Kancelář prezidenta republiky;Kancelář prezidenta republiky;Nepřiřazeno;Ostatní nákupy jinde nezařazené;25000.0
Kancelář prezidenta republiky;Kancelář prezidenta republiky;Nepřiřazeno;Poskytnuté neinvestiční příspěvky a náhrady (část);80000.0
Kancelář prezidenta republiky;Kancelář prezidenta republiky;Nepřiřazeno;Věcné dary;30000.0
Kancelář prezidenta republiky;Kancelář prezidenta republiky;Nepřiřazeno;Náhrady a příspěvky související s výkonem ústavní funkce a f;2080000.0
Kancelář prezidenta republiky;Kancelář prezidenta republiky;Nepřiřazeno;Převody fondu kulturních a sociálních potřeb a sociálnímu fo;494410.0
Kancelář prezidenta republiky;Kancelář prezidenta republiky;Nepřiřazeno;Náhrady mezd v době nemoci;500000.0
Kancelář prezidenta republiky;Kancelář prezidenta republiky;Nepřiřazeno;Neinvestiční transfery obyvatelstvu nemající charakter daru;500000.0
Kancelář prezidenta republiky;Kancelář prezidenta republiky;Nepřiřazeno;Ostatní neinvestiční transfery obyvatelstvu;1200000.0
