_;kapitola;_;financni_misto;_;zdroj;_;pvs;paragraf;akce;_;rozpoctova_polozka;castka
301;Kancelář prezidenta republiky;3010001;Kancelář prezidenta republiky;1100000;SR – základní;5010010011;612000;#;Nepřiřazeno;5011;Platy zaměstnanců v pracovním poměru;49 441 000
301;Kancelář prezidenta republiky;3010001;Kancelář prezidenta republiky;1100000;SR – základní;5010010011;612000;#;Nepřiřazeno;5021;Ostatní osobní výdaje;2 369 000
301;Kancelář prezidenta republiky;3010001;Kancelář prezidenta republiky;1100000;SR – základní;5010010011;612000;#;Nepřiřazeno;5022;Platy představitelů státní moci a některých orgánů;2 236 000
301;Kancelář prezidenta republiky;3010001;Kancelář prezidenta republiky;1100000;SR – základní;5010010011;612000;#;Nepřiřazeno;5031;Povinné pojistné na sociální zabezpečení a příspěvek na stát;12 953 000
301;Kancelář prezidenta republiky;3010001;Kancelář prezidenta republiky;1100000;SR – základní;5010010011;612000;#;Nepřiřazeno;5032;Povinné pojistné na veřejné zdravotní pojištění;4 663 000
301;Kancelář prezidenta republiky;3010001;Kancelář prezidenta republiky;1100000;SR – základní;5010010011;612000;#;Nepřiřazeno;5136;Knihy, učební pomůcky a tisk;830 000
301;Kancelář prezidenta republiky;3010001;Kancelář prezidenta republiky;1100000;SR – základní;5010010011;612000;#;Nepřiřazeno;5139;Nákup materiálu jinde nezařazený;105 000
301;Kancelář prezidenta republiky;3010001;Kancelář prezidenta republiky;1100000;SR – základní;5010010011;612000;#;Nepřiřazeno;5142;Kursové rozdíly ve výdajích;25 000
301;Kancelář prezidenta republiky;3010001;Kancelář prezidenta republiky;1100000;SR – základní;5010010011;612000;#;Nepřiřazeno;5161;Služby pošt;303 000
301;Kancelář prezidenta republiky;3010001;Kancelář prezidenta republiky;1100000;SR – základní;5010010011;612000;#;Nepřiřazeno;5163;Služby peněžních ústavů;60 000
301;Kancelář prezidenta republiky;3010001;Kancelář prezidenta republiky;1100000;SR – základní;5010010011;612000;#;Nepřiřazeno;5164;Nájemné;10 000
301;Kancelář prezidenta republiky;3010001;Kancelář prezidenta republiky;1100000;SR – základní;5010010011;612000;#;Nepřiřazeno;5166;Konzultační, poradenské a právní služby;890 000
301;Kancelář prezidenta republiky;3010001;Kancelář prezidenta republiky;1100000;SR – základní;5010010011;612000;#;Nepřiřazeno;5167;Služby školení a vzdělávání;1 580 000
301;Kancelář prezidenta republiky;3010001;Kancelář prezidenta republiky;1100000;SR – základní;5010010011;612000;#;Nepřiřazeno;5168;Služby zpracování dat;50 000
301;Kancelář prezidenta republiky;3010001;Kancelář prezidenta republiky;1100000;SR – základní;5010010011;612000;#;Nepřiřazeno;5169;Nákup ostatních služeb;19 326 590
301;Kancelář prezidenta republiky;3010001;Kancelář prezidenta republiky;1100000;SR – základní;5010010011;612000;#;Nepřiřazeno;5173;Cestovné (tuzemské i zahraniční);3 150 000
301;Kancelář prezidenta republiky;3010001;Kancelář prezidenta republiky;1100000;SR – základní;5010010011;612000;#;Nepřiřazeno;5175;Pohoštění;1 412 000
301;Kancelář prezidenta republiky;3010001;Kancelář prezidenta republiky;1100000;SR – základní;5010010011;612000;#;Nepřiřazeno;5176;Účastnické poplatky na konference;100 000
301;Kancelář prezidenta republiky;3010001;Kancelář prezidenta republiky;1100000;SR – základní;5010010011;612000;#;Nepřiřazeno;5179;Ostatní nákupy jinde nezařazené;25 000
301;Kancelář prezidenta republiky;3010001;Kancelář prezidenta republiky;1100000;SR – základní;5010010011;612000;#;Nepřiřazeno;5192;Poskytnuté neinvestiční příspěvky a náhrady (část);80 000
301;Kancelář prezidenta republiky;3010001;Kancelář prezidenta republiky;1100000;SR – základní;5010010011;612000;#;Nepřiřazeno;5194;Věcné dary;30 000
301;Kancelář prezidenta republiky;3010001;Kancelář prezidenta republiky;1100000;SR – základní;5010010011;612000;#;Nepřiřazeno;5196;Náhrady a příspěvky související s výkonem ústavní funkce a f;2 080 000
301;Kancelář prezidenta republiky;3010001;Kancelář prezidenta republiky;1100000;SR – základní;5010010011;612000;#;Nepřiřazeno;5342;Převody fondu kulturních a sociálních potřeb a sociálnímu fo;494 410
301;Kancelář prezidenta republiky;3010001;Kancelář prezidenta republiky;1100000;SR – základní;5010010011;612000;#;Nepřiřazeno;5424;Náhrady mezd v době nemoci;500 000
301;Kancelář prezidenta republiky;3010001;Kancelář prezidenta republiky;1100000;SR – základní;5010010011;612000;#;Nepřiřazeno;5494;Neinvestiční transfery obyvatelstvu nemající charakter daru;500 000
301;Kancelář prezidenta republiky;3010001;Kancelář prezidenta republiky;1100000;SR – základní;5010010011;612000;#;Nepřiřazeno;5499;Ostatní neinvestiční transfery obyvatelstvu;1 200 000
301;Kancelář prezidenta republiky;3010001;Kancelář prezidenta republiky;1100000;SR – základní;5010010011;612000;#;Nepřiřazeno;5909;Ostatní neinvestiční výdaje jinde nezařazené;50 000
301;Kancelář prezidenta republiky;3010001;Kancelář prezidenta republiky;1100000;SR – základní;5010010011;612000;#;Nepřiřazeno;Výsledek;;104 463 000
301;Kancelář prezidenta republiky;3010001;Kancelář prezidenta republiky;1100000;SR – základní;5010010011;Výsledek;;;;;104 463 000
301;Kancelář prezidenta republiky;3010001;Kancelář prezidenta republiky;1100000;SR – základní;5020010011;332500;101V011000003;Licenční vybavení ICT;6351;Investiční transfery zřízeným příspěvkovým organizacím;2 500 000
301;Kancelář prezidenta republiky;3010001;Kancelář prezidenta republiky;1100000;SR – základní;5020010011;332500;101V011000003;Licenční vybavení ICT;Výsledek;;2 500 000
301;Kancelář prezidenta republiky;3010001;Kancelář prezidenta republiky;1100000;SR – základní;5020010011;332500;101V012000019;Revitalizace inženýrských sítí a rozvodných technologií v ar;6351;Investiční transfery zřízeným příspěvkovým organizacím;36 431 000
301;Kancelář prezidenta republiky;3010001;Kancelář prezidenta republiky;1100000;SR – základní;5020010011;332500;101V012000019;Revitalizace inženýrských sítí a rozvodných technologií v ar;Výsledek;;36 431 000
301;Kancelář prezidenta republiky;3010001;Kancelář prezidenta republiky;1100000;SR – základní;5020010011;332500;101V012000020;Nejvyšší purkrabství Pražského hradu;6351;Investiční transfery zřízeným příspěvkovým organizacím;9 429 000
301;Kancelář prezidenta republiky;3010001;Kancelář prezidenta republiky;1100000;SR – základní;5020010011;332500;101V012000020;Nejvyšší purkrabství Pražského hradu;Výsledek;;9 429 000
301;Kancelář prezidenta republiky;3010001;Kancelář prezidenta republiky;1100000;SR – základní;5020010011;332500;#;Nepřiřazeno;5331;Neinvestiční příspěvky zřízeným příspěvkovým organizacím;162 045 000
301;Kancelář prezidenta republiky;3010001;Kancelář prezidenta republiky;1100000;SR – základní;5020010011;332500;#;Nepřiřazeno;Výsledek;;162 045 000
301;Kancelář prezidenta republiky;3010001;Kancelář prezidenta republiky;1100000;SR – základní;5020010011;Výsledek;;;;;210 405 000
301;Kancelář prezidenta republiky;3010001;Kancelář prezidenta republiky;1100000;SR – základní;5030010011;103700;101V015000002;Revitalizace vodních toků a meliorací - IV. etapa;6351;Investiční transfery zřízeným příspěvkovým organizacím;2 400 000
301;Kancelář prezidenta republiky;3010001;Kancelář prezidenta republiky;1100000;SR – základní;5030010011;103700;101V015000002;Revitalizace vodních toků a meliorací - IV. etapa;Výsledek;;2 400 000
301;Kancelář prezidenta republiky;3010001;Kancelář prezidenta republiky;1100000;SR – základní;5030010011;103700;101V015000003;Rekonstrukce a revitalizace vodních nádrží - IV. etapa;6351;Investiční transfery zřízeným příspěvkovým organizacím;2 500 000
301;Kancelář prezidenta republiky;3010001;Kancelář prezidenta republiky;1100000;SR – základní;5030010011;103700;101V015000003;Rekonstrukce a revitalizace vodních nádrží - IV. etapa;Výsledek;;2 500 000
301;Kancelář prezidenta republiky;3010001;Kancelář prezidenta republiky;1100000;SR – základní;5030010011;103700;101V015000004;Rekonstrukce cest v Lánské oboře  - VII. etapa;6351;Investiční transfery zřízeným příspěvkovým organizacím;4 100 000
301;Kancelář prezidenta republiky;3010001;Kancelář prezidenta republiky;1100000;SR – základní;5030010011;103700;101V015000004;Rekonstrukce cest v Lánské oboře  - VII. etapa;Výsledek;;4 100 000
301;Kancelář prezidenta republiky;3010001;Kancelář prezidenta republiky;1100000;SR – základní;5030010011;103700;101V015000006;Rekonstrukce provoz., správ. a pobyt. objektů - V. etapa;6351;Investiční transfery zřízeným příspěvkovým organizacím;1 000 000
301;Kancelář prezidenta republiky;3010001;Kancelář prezidenta republiky;1100000;SR – základní;5030010011;103700;101V015000006;Rekonstrukce provoz., správ. a pobyt. objektů - V. etapa;Výsledek;;1 000 000
301;Kancelář prezidenta republiky;3010001;Kancelář prezidenta republiky;1100000;SR – základní;5030010011;103700;#;Nepřiřazeno;5331;Neinvestiční příspěvky zřízeným příspěvkovým organizacím;22 500 000
301;Kancelář prezidenta republiky;3010001;Kancelář prezidenta republiky;1100000;SR – základní;5030010011;103700;#;Nepřiřazeno;Výsledek;;22 500 000
301;Kancelář prezidenta republiky;3010001;Kancelář prezidenta republiky;1100000;SR – základní;5030010011;Výsledek;;;;;32 500 000
301;Kancelář prezidenta republiky;3010001;Kancelář prezidenta republiky;Výsledek;;;;;;;;347 368 000
301;Kancelář prezidenta republiky;Výsledek;;;;;;;;;;347 368 000
302;Poslanecká sněmovna Parlamentu;3020001;Poslanecká sněmovna Parlamentu;1100000;SR – základní;5010010011;611100;102V011001401;Výpočetní technika a programové vybavení;6111;Programové vybavení;1 000 000
302;Poslanecká sněmovna Parlamentu;3020001;Poslanecká sněmovna Parlamentu;1100000;SR – základní;5010010011;611100;102V011001401;Výpočetní technika a programové vybavení;6125;Výpočetní technika;2 000 000
302;Poslanecká sněmovna Parlamentu;3020001;Poslanecká sněmovna Parlamentu;1100000;SR – základní;5010010011;611100;102V011001401;Výpočetní technika a programové vybavení;Výsledek;;3 000 000
302;Poslanecká sněmovna Parlamentu;3020001;Poslanecká sněmovna Parlamentu;1100000;SR – základní;5010010011;611100;102V011001402;Audio - video;6122;Stroje, přístroje a zařízení;3 000 000
302;Poslanecká sněmovna Parlamentu;3020001;Poslanecká sněmovna Parlamentu;1100000;SR – základní;5010010011;611100;102V011001402;Audio - video;Výsledek;;3 000 000
302;Poslanecká sněmovna Parlamentu;3020001;Poslanecká sněmovna Parlamentu;1100000;SR – základní;5010010011;611100;102V012001405;Dopravní prostředky;6123;Dopravní prostředky;5 000 000
302;Poslanecká sněmovna Parlamentu;3020001;Poslanecká sněmovna Parlamentu;1100000;SR – základní;5010010011;611100;102V012001405;Dopravní prostředky;Výsledek;;5 000 000
302;Poslanecká sněmovna Parlamentu;3020001;Poslanecká sněmovna Parlamentu;1100000;SR – základní;5010010011;611100;102V012001406;Stroje, přístroje a zařízení;6122;Stroje, přístroje a zařízení;3 000 000
302;Poslanecká sněmovna Parlamentu;3020001;Poslanecká sněmovna Parlamentu;1100000;SR – základní;5010010011;611100;102V012001406;Stroje, přístroje a zařízení;Výsledek;;3 000 000
302;Poslanecká sněmovna Parlamentu;3020001;Poslanecká sněmovna Parlamentu;1100000;SR – základní;5010010011;611100;102V012001407;Inventář - nábytek;6122;Stroje, přístroje a zařízení;1 000 000
302;Poslanecká sněmovna Parlamentu;3020001;Poslanecká sněmovna Parlamentu;1100000;SR – základní;5010010011;611100;102V012001407;Inventář - nábytek;Výsledek;;1 000 000
302;Poslanecká sněmovna Parlamentu;3020001;Poslanecká sněmovna Parlamentu;1100000;SR – základní;5010010011;611100;102V012001408;Stavební rekonstrukce, technologie staveb;6121;Budovy, haly a stavby;5 000 000
302;Poslanecká sněmovna Parlamentu;3020001;Poslanecká sněmovna Parlamentu;1100000;SR – základní;5010010011;611100;102V012001408;Stavební rekonstrukce, technologie staveb;Výsledek;;5 000 000
302;Poslanecká sněmovna Parlamentu;3020001;Poslanecká sněmovna Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5011;Platy zaměstnanců v pracovním poměru;156 662 000
302;Poslanecká sněmovna Parlamentu;3020001;Poslanecká sněmovna Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5021;Ostatní osobní výdaje;6 300 000
302;Poslanecká sněmovna Parlamentu;3020001;Poslanecká sněmovna Parlamentu;1100000;SR – základní;5010010011;611100;#;Nepřiřazeno;5022;Platy představitelů státní moci a některých orgánů;172 263 000
